category,difficulty,title,company_tags,accuracy,url
Strings,Medium,Next Palindromic with Same Digits,"Microsoft, Adobe",23.61%,https://www.geeksforgeeks.org/problems/next-higher-palindromic-number-using-the-same-set-of-digits5859/1
Strings,Medium,Special Palindrome Substrings,MakeMyTrip,60.12%,https://www.geeksforgeeks.org/problems/special-palindrome-substrings--170647/1
Strings,Medium,Concatenation of Zig-Zag String in n Rows,PayPal,32.92%,https://www.geeksforgeeks.org/problems/concatenation-of-zig-zag-string-in-n-rows0308/1
Strings,Medium,Roll the characters of a String,Airtel,35.76%,https://www.geeksforgeeks.org/problems/roll-the-characters-of-a-string2127/1
Strings,Medium,Rotate String Queries,,26.28%,https://www.geeksforgeeks.org/problems/lazy-pasha1646/1
Strings,Medium,Previous Number in One Swap,,30.74%,https://www.geeksforgeeks.org/problems/previous-number-in-one-swap5707/1
Strings,Medium,Leading Zeros in IP Address Style String,,48.03%,https://www.geeksforgeeks.org/problems/remove-leading-zeros-from-an-ip-address3530/1
Strings,Medium,Find and Replace in String,Google,51.86%,https://www.geeksforgeeks.org/problems/find-an-replace-in-string/1
Strings,Medium,Number of Positive Integral Solutions,,57.82%,https://www.geeksforgeeks.org/problems/number-of-positive-integral-solutions2115/1
Strings,Medium,Concatenate Equal to Target,,49.23%,https://www.geeksforgeeks.org/problems/concatenate-equal-to-target/1
Strings,Medium,Convert Sentence to Camel Case,,42.16%,https://www.geeksforgeeks.org/problems/convert-sentence-to-camel-case/1
Strings,Medium,Encode and Decode Strings,,65.03%,https://www.geeksforgeeks.org/problems/encode-and-decode-strings/1
Strings,Medium,Minimum Operations to Print 'A' N Times,,75.92%,https://www.geeksforgeeks.org/problems/special-keyboard-2/1
Strings,Medium,Combine the strings,Walmart,18.19%,https://www.geeksforgeeks.org/problems/combine-the-strings3459/1
Strings,Medium,Missing in String of Consecutive Numbers,Intuit,40.88%,https://www.geeksforgeeks.org/problems/find-the-missing-no-in-string/1
Strings,Medium,Palindromic Permutations,,26.95%,https://www.geeksforgeeks.org/problems/pallindrome-patterns0809/1
Strings,Medium,Next Greater with One Swap,,15.92%,https://www.geeksforgeeks.org/problems/next-higher-number-in-one-swap1703/1
Strings,Medium,Comment Removal,BrowserStack,35.33%,https://www.geeksforgeeks.org/problems/comment-removal2017/1
Strings,Medium,Count Special Palindromic Substrings,,22.96%,https://www.geeksforgeeks.org/problems/count-special-palindromic0421/1
Strings,Medium,XOR Cipher,,20.40%,https://www.geeksforgeeks.org/problems/xor-cipher3009/1
Strings,Medium,The Infinite String,National Instruments,14.72%,https://www.geeksforgeeks.org/problems/the-infinite-string1049/1
Strings,Medium,Longest Arithmetic Progression in a String,,31.81%,https://www.geeksforgeeks.org/problems/archana-and-her-tricky-string2910/1
Strings,Medium,Mapped String,,48.19%,https://www.geeksforgeeks.org/problems/mapped-string0501/1
Strings,Medium,Justified Text,Google,82.10%,https://www.geeksforgeeks.org/problems/justified-text/1
Strings,Medium,Case Insensitive Search,,56.74%,https://www.geeksforgeeks.org/problems/case-insensitive-search/1
